# track_id_origen;track_id_destino;peso
7ycWLEP1GsNjVvcjawXz3z;2tGvwE8GcFKwNdAXMnlbfl;1.000
7ycWLEP1GsNjVvcjawXz3z;6HU7h9RYOaPRFeh0R3UeAr;1.000
7ycWLEP1GsNjVvcjawXz3z;4ZtFanR9U6ndgddUvNcjcG;1.000
7ycWLEP1GsNjVvcjawXz3z;5CZ40GBx1sQ9agT82CLQCT;1.000
7ycWLEP1GsNjVvcjawXz3z;5wANPM4fQCJwkGd4rN57mH;1.000
7ycWLEP1GsNjVvcjawXz3z;5O2P9iiztwhomNh8xkR9lJ;1.000
7ycWLEP1GsNjVvcjawXz3z;0kTMK4gNFfLXaTb62w1UaJ;1.000
7ycWLEP1GsNjVvcjawXz3z;5fhcuVxuBWfgNXGuyAtLmr;1.000
7ycWLEP1GsNjVvcjawXz3z;0WtM2NBVQNNJLh6scP13H8;1.000
7ycWLEP1GsNjVvcjawXz3z;4cG7HUWYHBV6R6tHn1gxrl;1.000
7ycWLEP1GsNjVvcjawXz3z;2eAvDnpXP5W0cVtiI0PUxV;1.000
7ycWLEP1GsNjVvcjawXz3z;45bE4HXI0AwGZXfZtMp8JR;1.000
7ycWLEP1GsNjVvcjawXz3z;5HCyWlXZPP0y6Gqq8TgA20;1.000
7ycWLEP1GsNjVvcjawXz3z;2374M0fQpWi3dLnB54qaLX;1.000
7ycWLEP1GsNjVvcjawXz3z;4HlFJV71xXKIGcU3kRyttv;1.000
7ycWLEP1GsNjVvcjawXz3z;1KIJclzEbNhSVw8tiHPWwE;1.000
7ycWLEP1GsNjVvcjawXz3z;2vWBUC9djv6BtiGlmKiQaH;1.000
7ycWLEP1GsNjVvcjawXz3z;4cacyP5c3PMlfnyjpg13xW;1.000
7ycWLEP1GsNjVvcjawXz3z;6GomT970rCOkKAyyrwJeZi;1.000
2vmfvSoZBFAt9hhRoEByLi;7DbdUf8aHSYoliSjO6LZv6;1.000
2vmfvSoZBFAt9hhRoEByLi;1ei3hzQmrgealgRKFxIcWn;1.000
2vmfvSoZBFAt9hhRoEByLi;1xzi1Jcr7mEi9K2RfzLOqS;1.000
2vmfvSoZBFAt9hhRoEByLi;2tTmW7RDtMQtBk7m2rYeSw;1.000
2vmfvSoZBFAt9hhRoEByLi;2GiJYvgVaD2HtM8GqD9EgQ;1.000
2vmfvSoZBFAt9hhRoEByLi;6Z8R6UsFuGXGtiIxiD8ISb;1.000
2vmfvSoZBFAt9hhRoEByLi;5IgjP7X4th6nMNDh4akUHb;1.000
2vmfvSoZBFAt9hhRoEByLi;4xqrdfXkTW4T0RauPLv3WA;1.000
2vmfvSoZBFAt9hhRoEByLi;3F5CgOj3wFlRv51JsHbxhe;1.000
2vmfvSoZBFAt9hhRoEByLi;03a359wbiUsjN9h6yzXvmS;1.000
2vmfvSoZBFAt9hhRoEByLi;58HvfVOeJY7lUuCqF0m3ly;1.000
2vmfvSoZBFAt9hhRoEByLi;7lQ8MOhq6IN2w8EYcFNSUk;1.000
